File Name,Model,Prompt Number,Prompt Text,Response
or03yz.md,Default (GPT-3.5),1,"""Discuss the fundamental principles of attachment theory, elaborating on the different attachment styles and their implications for an individual's emotional and social development, as well as strategies for fostering secure attachments and improving interpersonal relationships throughout one's life.""",> 1 / 1
or03yz.md,Default (GPT-3.5),2,,
or03yz.md,Default (GPT-3.5),3,1 / 1,"Attachment theory is a psychological framework that describes the nature and development of close emotional bonds between individuals, especially between a caregiver and a child. The theory was first proposed by John Bowlby in the 1950s and has since been widely studied and expanded upon by researchers in the field of developmental psychology."
179tari.md,Default (GPT-3.5),1,Can you list the top 12 use cases that an Applicant Tracking System supports?,> 1 / 1
179tari.md,Default (GPT-3.5),2,,
179tari.md,Default (GPT-3.5),3,1 / 1,"Sure, here are the top 12 use cases that an Applicant Tracking System (ATS) supports:"
179tari.md,Default (GPT-3.5),4,Can you also provide that list wored like a user story?,> 1 / 1
179tari.md,Default (GPT-3.5),5,,
179tari.md,Default (GPT-3.5),6,1 / 1,"Sure, here's the list of top 12 use cases of an Applicant Tracking System (ATS) written as user stories:"
179tari.md,Default (GPT-3.5),7,"Alright, if was to begin to develop that ATS in Python, what are the core technology components I will require?",> 1 / 1
179tari.md,Default (GPT-3.5),8,,
179tari.md,Default (GPT-3.5),9,1 / 1,"If you were to develop an ATS in Python, here are some of the core technology components you will need:"
179tari.md,Default (GPT-3.5),10,"Wrt the development of the User Story: As a recruiter, I want the ATS to automatically parse resumes and extract relevant information such as name, contact details, work experience, education, and skills, so that I can quickly and easily review candidate profiles. Can you give me the Python code for parsing a resume in a .docx format",> 1 / 1
179tari.md,Default (GPT-3.5),11,,
179tari.md,Default (GPT-3.5),12,1 / 1,Certainly! Here is an example Python code snippet for parsing a resume in .docx format using the python-docx library:
179tari.md,Default (GPT-3.5),13,Can you give me the top 6 technical requirements in support of user story 1,> 1 / 1
179tari.md,Default (GPT-3.5),14,,
179tari.md,Default (GPT-3.5),15,1 / 1,Sure! Here are the top 6 technical requirements in support of user story 1:
q9i7l9.md,GPT-4,1,"Generate a prompt that will enable GPT-4 to act as an expert in SQL refactoring, providing guidance on how to refactor code effectively. When continuing with code examples, always use markdown code blocks. In the case of refactoring primary key columns, the preferred column name should be 'id'.",> 1 / 1
q9i7l9.md,GPT-4,2,,
q9i7l9.md,GPT-4,3,1 / 1,**Prompt:**
q9i7l9.md,GPT-4,4,"As an expert in SQL refactoring, please provide guidance on how to refactor SQL code effectively, including best practices and optimization techniques. Include examples of refactoring primary key columns, using 'id' as the preferred column name, and demonstrate how to improve code readability and maintainability. Provide examples using markdown code blocks for better understanding.",> 1 / 1
q9i7l9.md,GPT-4,5,,
q9i7l9.md,GPT-4,6,1 / 1,Refactoring SQL code effectively
